prodName,lowPrice,highPrice,avgPrice,place,unitInfo
整羊,23.5,23.5,23.5,,斤
去骨羊前腿,30.0,30.0,30.0,,斤
去骨羊后腿,31.0,32.0,31.5,,斤
羊腰窝,29.0,30.0,29.5,,斤
羊肉片,25.0,35.0,30.0,,斤
羊腰子,9.0,10.0,9.5,,个
羊蝎子,13.0,14.0,13.5,,斤
羊蝎子,22.0,24.0,23.0,,斤
羊排骨,23.0,24.0,23.5,,斤
羊尾巴油,7.0,8.0,7.5,,斤
羊小腿,19.0,21.0,20.0,,斤
羊腱子肉,32.0,33.0,32.5,,斤
羊蹄,14.5,15.0,14.75,,斤
羊头,12.0,12.0,12.0,,斤
羊肝,7.0,7.0,7.0,,斤
羊心,15.0,15.0,15.0,,斤
羊肠,14.0,15.0,14.5,,斤
羊肚,16.0,16.0,16.0,,斤
羊鞭,70.0,75.0,72.5,,斤
羊宝,32.0,32.0,32.0,,斤
羊骨头,8.0,9.0,8.5,,斤
羊上脑,32.0,34.0,33.0,,斤
羊腩,21.0,23.0,22.0,,斤
羊里脊,30.0,32.0,31.0,,斤
淘汰鸡,11.5,12.0,11.75,,斤
淘汰鸡,10.5,11.0,10.75,,斤
仔鸡,6.8,7.0,6.9,,斤
肉鸡,6.5,6.8,6.65,,斤
鸡胸,6.0,7.0,6.5,,斤
鸡翅,11.0,11.0,11.0,,斤
鸡翅尖,7.5,7.5,7.5,,斤
鸡翅中,21.0,21.0,21.0,,斤
鸡翅根,7.0,7.0,7.0,,斤
鸡边腿,6.5,6.8,6.65,,斤
鸡排腿,7.0,7.0,7.0,,斤
鸡琵琶腿,7.0,7.0,7.0,,斤
鸡胗,10.0,12.0,11.0,,斤
鸡爪,20.0,20.0,20.0,,斤
鸡心,5.0,5.0,5.0,,斤
鸡肝,2.8,3.0,2.9,,斤
鸡脖子,5.0,5.0,5.0,,斤
鸡头,2.5,2.5,2.5,,斤
鸡油,5.5,5.5,5.5,,斤
鸡架子,3.0,3.5,3.25,,斤
白条乌鸡,11.0,12.0,11.5,,斤
黑爪公鸡,11.0,13.0,12.0,,斤
白条鹅,10.0,13.0,11.5,,斤
白条湖鸭,7.0,7.5,7.25,,斤
鸭肠,7.0,8.0,7.5,,斤
鸭肝,2.0,3.0,2.5,,斤
鸭头,10.0,11.0,10.5,,斤
鸭心,4.5,5.0,4.75,,斤
鸭腿,5.5,6.0,5.75,,斤
鸭胗,12.0,13.0,12.5,,斤
鸭脖子,7.0,7.5,7.25,,斤
白条乳鸽,20.0,23.0,21.5,,只
白条兔,23.0,23.0,23.0,,斤
筐鸡蛋,209.0,215.0,212.0,,筐
